"TYPE_NAME","MIX_TYPE","INGR_CODE","INGR_ENG_NAME","INGR_NAME","MIX_INGR","FORM_NAME","ITEM_SEQ","ITEM_NAME","ITEM_PERMIT_DATE","ENTP_NAME","CHART","CLASS_CODE","CLASS_NAME","ETC_OTC_NAME","MAIN_INGR","NOTIFICATION_DATE","PROHBT_CONTENT","REMARK","INGR_ENG_NAME_FULL","STD_CD"
"노인주의","단일","D000362","Imipramine","이미프라민","","필름코팅정","198200325","환인이미프라민염산염정25밀리그램","19821203","환인제약(주)","초록색의 원형 필름코팅정","01170","정신신경용제","전문의약품","[M223168]이미프라민염산염","2014-07-28","노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Imipramine(이미프라민)","8806572010506,8806572010513,8806572010520,8806572010537,8806572010544"
"노인주의","단일","D000362","Imipramine","이미프라민","","필름코팅정","198500628","명인이미프라민염산염정","19850917","명인제약(주)","초록색의 원형 필름코팅정","01170","정신신경용제","전문의약품","[M223168]이미프라민염산염","2014-07-28","노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여","","Imipramine(이미프라민)","8806519007507,8806519007514,8806519007521"
"노인주의","단일","D000056","Chlordiazepoxide","클로르디아제폭시드","","당의정","198100697","리버티정10밀리그램(클로르디아제폭시드염산염)","19811214","환인제약(주)","연록색의 원형 당의정","01170","정신신경용제","전문의약품","[M223206]클로르디아제폭시드염산염","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Chlordiazepoxide(클로르디아제폭시드)","8806572002105,8806572002112,8806572002129,8806572002136,8806572002143"
"노인주의","단일","D000056","Chlordiazepoxide","클로르디아제폭시드","","당의정","199203463","리버티정5밀리그램(클로르디아제폭시드염산염)","19921007","환인제약(주)","황색의 원형 당의정","01170","정신신경용제","전문의약품","[M223206]클로르디아제폭시드염산염","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Chlordiazepoxide(클로르디아제폭시드)","8806572002006,8806572002013,8806572002020,8806572002037,8806572002044"
"노인주의","단일","D000375","Clonazepam","클로나제팜","","나정","200610884","리보트릴정(클로나제팜)","20061107","(주)종근당","엷은 주황색의 원형 정제","01130","항전간제","전문의약품","[M093594]클로나제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Clonazepam(클로나제팜)","8806433088002,8806433088019,8806450001602,8806450001619"
"노인주의","단일","D000375","Clonazepam","클로나제팜","","나정","201400403","환인클로나제팜정0.5밀리그램","20140129","환인제약(주)","엷은 주황색의 원형 정제","01130","항전간제","전문의약품","[M093594]클로나제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Clonazepam(클로나제팜)","8806572026903,8806572026910,8806572026927"
"노인주의","단일","D000375","Clonazepam","클로나제팜","","나정","201901158","환인클로나제팜정0.5밀리그램(WhanIn Clonazepam Tab. 0.5mg)","20190225","환인제약(주)","엷은 주황색의 원형 정제","01130","항전간제","전문의약품","[M093594]클로나제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Clonazepam(클로나제팜)","8806572034908,8806572034915"
"노인주의","단일","D000090","Diazepam","디아제팜","","나정","197700525","대원디아제팜정2밀리그램(수출명:디아잠정2밀리그램)(수출명2:트레즈콘정2밀리그램)","19770512","대원제약(주)","백색의 원형 정제","01170","정신신경용제","전문의약품","[M040102]디아제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Diazepam(디아제팜)","8806718002709,8806718002716,8806718002723,8806718002730"
"노인주의","단일","D000090","Diazepam","디아제팜","","나정","197700535","삼진디아제팜정2밀리그람","19770914","삼진제약(주)","백색의 정제","01170","정신신경용제","전문의약품","[M040102]디아제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Diazepam(디아제팜)","8806478007402,8806478007419,8806478007426,8806478007433,8806478007440"
"노인주의","단일","D000090","Diazepam","디아제팜","","나정","197700536","삼진디아제팜정5밀리그람","19770914","삼진제약(주)","흰색의 팔각형 정제","01170","정신신경용제","전문의약품","[M040102]디아제팜","2015-07-28","노인에서의 장기지속형 벤조다이아제핀 사용은 운동실조, 과진정 등이 나타나기 쉬움으로 소량부터 신중투여","","Diazepam(디아제팜)","8806478007501,8806478007518,8806478007525,8806478007532,8806478007549"
